epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,71.0902,1.77295,3.09529,0.0152,0.40992,0.3986,0.35199,0.1472,1.93347,2.68608,0.02942,0.000551457,0.000551457,0.000551457
2,167.663,1.9131,2.25872,0.01739,0.39915,0.40022,0.35082,0.13597,2.13704,2.48059,0.03602,0.00109616,0.00109616,0.00109616
3,264.794,1.90217,2.21548,0.01761,0.50279,0.42544,0.42853,0.18559,1.92225,2.66085,0.02998,0.00162987,0.00162987,0.00162987
4,341.872,1.94952,2.172,0.01766,0.49686,0.44066,0.43596,0.19071,2.03009,2.32571,0.03145,0.00161749,0.00161749,0.00161749
5,416.651,1.87803,2.11285,0.01706,0.49089,0.42749,0.4333,0.19313,1.94423,2.39511,0.03121,0.00160099,0.00160099,0.00160099
6,509.296,1.83609,2.04988,0.01573,0.50405,0.51343,0.49622,0.2375,1.7994,1.86542,0.02687,0.00158448,0.00158448,0.00158448
7,586.224,1.76082,1.98066,0.01548,0.588,0.50946,0.53724,0.23869,1.81738,1.85097,0.02705,0.00156798,0.00156798,0.00156798
8,659.557,1.75348,1.90857,0.01538,0.69348,0.50965,0.59478,0.28177,1.86971,1.73815,0.0271,0.00155148,0.00155148,0.00155148
9,731.171,1.74022,1.84667,0.01501,0.5995,0.54834,0.59089,0.29797,1.69702,1.7121,0.02448,0.00153497,0.00153497,0.00153497
10,821.821,1.71994,1.83066,0.01544,0.66539,0.57531,0.6318,0.3223,1.69396,1.61974,0.02415,0.00151847,0.00151847,0.00151847
11,903.545,1.68884,1.76974,0.01445,0.63754,0.59111,0.63103,0.32383,1.64755,1.62284,0.02326,0.00150197,0.00150197,0.00150197
12,985.662,1.66465,1.74044,0.01443,0.65499,0.58506,0.63964,0.3133,1.69126,1.61945,0.0245,0.00148546,0.00148546,0.00148546
13,1079.46,1.6526,1.71132,0.01414,0.64925,0.56642,0.61543,0.28893,1.7873,1.65405,0.02464,0.00146896,0.00146896,0.00146896
14,1152.06,1.64128,1.68058,0.01431,0.67525,0.62214,0.66245,0.36546,1.58848,1.55606,0.02221,0.00145246,0.00145246,0.00145246
15,1241.43,1.63311,1.62383,0.01394,0.67977,0.58348,0.64861,0.35072,1.60873,1.50271,0.02165,0.00143595,0.00143595,0.00143595
16,1306.99,1.62753,1.64351,0.0141,0.6651,0.60534,0.65537,0.33988,1.6886,1.52633,0.02302,0.00141945,0.00141945,0.00141945
17,1394.42,1.59425,1.59185,0.01359,0.72336,0.58839,0.67177,0.32871,1.79162,1.4459,0.0242,0.00140295,0.00140295,0.00140295
18,1529.49,1.60825,1.55288,0.01346,0.71596,0.63248,0.68925,0.37643,1.61421,1.38424,0.02294,0.00138644,0.00138644,0.00138644
19,1637.32,1.57594,1.53062,0.01354,0.70315,0.60888,0.67493,0.3789,1.6103,1.41537,0.02253,0.00136994,0.00136994,0.00136994
